iter	Passed	Remaining
744	5095	1743
745	5099	1736
746	5105	1729
747	5111	1722
748	5116	1714
749	5122	1707
750	5127	1700
751	5131	1692
752	5138	1685
753	5142	1677
754	5148	1670
755	5153	1663
756	5158	1655
757	5163	1648
758	5170	1641
759	5174	1634
760	5179	1626
761	5185	1619
762	5190	1612
763	5195	1604
764	5199	1597
765	5206	1590
766	5211	1583
767	5215	1575
768	5222	1568
769	5227	1561
770	5232	1554
771	5238	1547
772	5243	1539
773	5247	1532
774	5254	1525
775	5259	1518
776	5264	1510
777	5270	1503
778	5275	1496
779	5279	1489
780	5286	1482
781	5291	1475
782	5296	1467
783	5303	1461
784	5308	1454
785	5313	1446
786	5320	1439
787	5325	1432
788	5330	1425
789	5336	1418
790	5341	1411
791	5346	1404
792	5370	1401
793	5380	1395
794	5390	1389
795	5400	1384
796	5407	1377
797	5414	1370
798	5421	1363
799	5426	1356
800	5432	1349
801	5437	1342
802	5442	1335
803	5447	1328
804	5452	1320
805	5457	1313
806	5463	1306
807	5468	1299
808	5473	1292
809	5478	1285
810	5483	1277
811	5488	1270
812	5492	1263
813	5500	1256
814	5505	1249
815	5513	1243
816	5518	1236
817	5523	1228
818	5528	1221
819	5535	1215
820	5539	1207
821	5545	1200
822	5550	1193
823	5555	1186
824	5562	1179
825	5567	1172
826	5572	1165
827	5578	1158
828	5583	1151
829	5588	1144
830	5594	1137
831	5599	1130
832	5604	1123
833	5610	1116
834	5615	1109
835	5620	1102
836	5626	1095
837	5631	1088
838	5636	1081
839	5641	1074
840	5648	1067
841	5652	1060
842	5659	1053
843	5664	1046
844	5669	1039
845	5674	1033
846	5679	1025
847	5684	1018
848	5689	1011
849	5695	1005
850	5700	998
851	5705	991
852	5712	984
853	5717	977
854	5724	970
855	5731	964
856	5737	957
857	5745	950
858	5751	944
859	5758	937
860	5764	930
861	5769	923
862	5776	916
863	5781	910
864	5787	903
865	5793	896
866	5799	889
867	5805	882
868	5810	875
869	5816	869
870	5823	862
871	5828	855
872	5833	848
873	5840	842
874	5846	835
875	5852	828
876	5859	821
877	5864	814
878	5872	808
879	5877	801
880	5883	794
881	5890	788
882	5896	781
883	5903	774
884	5908	767
885	5914	761
886	5921	754
887	5926	747
888	5932	740
889	5940	734
890	5945	727
891	5952	720
892	5959	714
893	5966	707
894	5972	700
895	5978	693
896	5985	687
897	5990	680
898	5996	673
899	6004	667
900	6009	660
901	6015	653
902	6021	646
903	6026	639
904	6033	633
905	6039	626
906	6044	619
907	6051	613
908	6055	606
909	6060	599
910	6068	592
911	6073	586
912	6078	579
913	6084	572
914	6089	565
915	6093	558
916	6100	552
917	6105	545
918	6110	538
919	6117	531
920	6122	525
921	6126	518
922	6135	511
923	6140	505
924	6147	498
925	6152	491
926	6156	484
927	6163	478
928	6169	471
929	6173	464
930	6180	458
931	6184	451
932	6189	444
933	6195	437
934	6200	431
935	6205	424
936	6210	417
937	6215	410
938	6220	404
939	6226	397
940	6232	390
941	6236	384
942	6241	377
943	6247	370
944	6252	363
945	6257	357
946	6263	350
947	6268	343
948	6273	337
949	6280	330
950	6285	323
951	6290	317
952	6296	310
953	6301	303
954	6305	297
955	6312	290
956	6317	283
957	6321	277
958	6328	270
959	6332	263
960	6337	257
961	6343	250
962	6348	243
963	6353	237
964	6359	230
965	6364	224
966	6369	217
967	6376	210
968	6383	204
969	6387	197
970	6393	190
971	6398	184
972	6404	177
973	6410	171
974	6415	164
975	6420	157
976	6426	151
977	6431	144
978	6435	138
979	6442	131
980	6447	124
981	6451	118
982	6457	111
983	6462	105
984	6467	98
985	6474	91
986	6480	85
987	6484	78
988	6491	72
989	6496	65
990	6501	59
991	6508	52
992	6512	45
993	6517	39
994	6523	32
995	6528	26
996	6533	19
997	6540	13
998	6546	6
999	6551	0
